"FID","SUBTYPE","JURISDICTI","OWNER","LOCAL_ID","FACILITYID","Lat","Long","Subbasin","Shape_Le_2","Shape_Area"
"35703.0","0.0"," ","City of Grand Haven DPW","45210"," ","43.0594798988","-86.2051219868","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35704.0","0.0"," ","City of Grand Haven DPW","45211"," ","43.059383414","-86.2051100656","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35705.0","0.0"," ","City of Grand Haven DPW","45212"," ","43.0584638218","-86.2057396098","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35706.0","0.0"," ","City of Grand Haven DPW","45213"," ","43.0603716206","-86.2060396983","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35707.0","0.0"," ","City of Grand Haven DPW","45214"," ","43.0602803145","-86.206033347","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35708.0","0.0"," ","City of Grand Haven DPW","45215"," ","43.0602112107","-86.2058321981","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35709.0","0.0"," ","City of Grand Haven DPW","45216"," ","43.060215664","-86.2059696965","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35710.0","0.0"," ","City of Grand Haven DPW","45217"," ","43.0603906257","-86.205431739","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35711.0","0.0"," ","City of Grand Haven DPW","45218"," ","43.0602964386","-86.2053946804","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35712.0","0.0"," ","City of Grand Haven DPW","45219"," ","43.0604378813","-86.2037661792","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35713.0","0.0"," ","City of Grand Haven DPW","45220"," ","43.0603440879","-86.2037453348","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35720.0","0.0"," ","City of Grand Haven DPW","45227"," ","43.0445831827","-86.2179765487","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35721.0","0.0"," ","City of Grand Haven DPW","45228"," ","43.0444635747","-86.2179729622","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35722.0","0.0"," ","City of Grand Haven DPW","45232"," ","43.0445688425","-86.2191257259","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35725.0","0.0"," ","City of Grand Haven DPW","45235"," ","43.0449186813","-86.1952550567","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35726.0","0.0"," ","City of Grand Haven DPW","45236"," ","43.0502494629","-86.2056312986","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35727.0","0.0"," ","City of Grand Haven DPW","45237"," ","43.0502511495","-86.205497881","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35728.0","0.0"," ","City of Grand Haven DPW","45238"," ","43.0510680671","-86.2056655241","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
"35729.0","0.0"," ","City of Grand Haven DPW","45239"," ","43.0510714684","-86.2055376916","Direct Drainage to Lower Grand River","1944453.40786","11516492446.1"
