"FID","SUBTYPE","JURISDICTI","OWNER","Source","LOCAL_ID","FACILITYID","Lat","Long","Subbasin"
"201.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C201","42.800694918","-85.5082887659","Lower Thornapple River"
"202.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C194","42.7991069921","-85.5086609774","Lower Thornapple River"
"203.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C176","42.7972466627","-85.5080773783","Lower Thornapple River"
"204.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C088","42.7896862668","-85.5156426578","Lower Thornapple River"
"205.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C271","42.7981446191","-85.5157845045","Lower Thornapple River"
"206.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","6002","42.8027778523","-85.518012643","Lower Thornapple River"
"207.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","3237B","42.79831623","-85.5096297093","Lower Thornapple River"
"208.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","3232A","42.7986264092","-85.5082963969","Lower Thornapple River"
"209.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","3081A","42.7896063835","-85.5090950017","Lower Thornapple River"
"210.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","3369A","42.7988227262","-85.5076744685","Lower Thornapple River"
"211.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","3218a","42.7970708975","-85.5093741281","Lower Thornapple River"
"212.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C081A","42.7897007373","-85.514860968","Lower Thornapple River"
"213.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","C082A","42.7897047597","-85.5151049579","Lower Thornapple River"
"214.0","15.0","Village of Caledonia ","Village of Caledonia ","Village of Caledonia ","","S036A","42.79907074","-85.5077270689","Lower Thornapple River"
